iter	Passed	Remaining
409	2921	4203
410	2923	4189
411	2925	4175
412	2927	4161
413	2930	4147
414	2935	4138
415	2939	4126
416	2942	4114
417	2946	4102
418	2952	4094
419	2955	4081
420	2957	4067
421	2959	4053
422	2962	4041
423	2965	4029
424	2969	4017
425	2972	4005
426	2979	3997
427	2983	3987
428	2986	3974
429	2989	3962
430	3001	3962
431	3006	3952
432	3012	3944
433	3014	3931
434	3016	3918
435	3019	3906
436	3021	3893
437	3028	3885
438	3030	3873
439	3033	3860
440	3035	3848
441	3038	3835
442	3041	3824
443	3044	3812
444	3047	3800
445	3049	3787
446	3055	3780
447	3059	3769
448	3061	3757
449	3068	3750
450	3072	3740
451	3075	3728
452	3078	3717
453	3084	3709
454	3087	3698
455	3090	3687
456	3093	3675
457	3096	3663
458	3102	3656
459	3104	3644
460	3106	3632
461	3109	3621
462	3111	3609
463	3117	3601
464	3120	3589
465	3122	3578
466	3125	3566
467	3127	3555
468	3133	3547
469	3135	3536
470	3138	3525
471	3141	3513
472	3143	3502
473	3149	3494
474	3152	3484
475	3155	3473
476	3169	3475
477	3175	3467
478	3194	3474
479	3203	3470
480	3207	3460
481	3210	3450
482	3216	3442
483	3223	3437
484	3233	3433
485	3236	3423
486	3251	3425
487	3256	3417
488	3261	3408
489	3264	3398
490	3267	3386
491	3269	3375
492	3276	3369
493	3278	3358
494	3280	3346
495	3282	3335
496	3285	3325
497	3289	3315
498	3291	3304
499	3294	3294
500	3296	3283
501	3301	3274
502	3305	3265
503	3307	3255
504	3309	3244
505	3312	3233
506	3318	3226
507	3321	3216
508	3324	3207
509	3332	3201
510	3336	3193
511	3340	3184
512	3343	3173
513	3345	3163
514	3351	3156
515	3354	3146
516	3357	3136
517	3359	3126
518	3364	3118
519	3367	3108
520	3369	3098
521	3372	3088
522	3375	3078
523	3381	3071
524	3383	3061
525	3386	3051
526	3389	3042
527	3391	3031
528	3395	3023
529	3400	3015
530	3403	3006
531	3425	3013
532	3431	3006
533	3433	2996
534	3437	2987
535	3445	2982
536	3448	2973
537	3462	2973
538	3464	2963
539	3467	2954
540	3475	2948
541	3479	2939
542	3485	2933
543	3489	2924
544	3495	2918
545	3506	2915
546	3510	2906
547	3519	2903
548	3523	2894
549	3534	2891
550	3537	2883
551	3548	2880
552	3552	2871
553	3555	2862
554	3566	2859
555	3569	2850
556	3571	2840
557	3579	2835
558	3582	2825
559	3586	2817
560	3596	2814
561	3600	2806
562	3606	2799
563	3609	2790
564	3612	2781
565	3615	2772
566	3621	2765
567	3625	2757
568	3628	2748
569	3631	2739
570	3637	2732
571	3641	2724
572	3643	2715
573	3646	2705
574	3648	2696
575	3654	2690
576	3657	2681
577	3660	2672
578	3663	2663
579	3669	2657
580	3688	2660
581	3691	2651
582	3702	2648
583	3706	2639
584	3711	2632
585	3717	2626
586	3741	2632
587	3745	2624
588	3749	2616
589	3752	2607
590	3755	2599
591	3763	2593
592	3766	2585
593	3770	2577
594	3777	2570
